quantity,value
gamma_loss,0.0002
loss_window_eps,0.2
t_loss,1000.0
P_surv_fit_t_min,2.0
P_surv_fit_t_max,70.0
N_fit_t_min,0.6
N_fit_t_max,10.0
R2_fit_t_min,0.6
R2_fit_t_max,40.0
tau_S_DPwindow,1.434241508744876
alpha_T_DPwindow,1.7429314222683225
tau_A_DPwindow,1.4748969842291062
gamma_ST_DPwindow,1.8120416197872442
delta,0.7297575835749727
eta,0.15144204264419114
z_spreading,2.025155325950293
D_fss,3.686767952484136
z_fss,2.0104091030108187
FSS_gamma_loss,0.0002
FSS_max_T,1800.0
FSS_lambda_fac,2.008
FSS_runs_each,20000
FSS_cutoff_method,moment
FSS_cutoff_quantile,0.99
critical_scan_best_lambda_fac,2.04
density_decay_best_lambda_fac,2.0
FSS_tau_S_extrapolated,1.4050519518845315
FSS_alpha_T_extrapolated,1.7252095914233323
FSS_gamma_ST_extrapolated,1.8620970455386805
mean_final_void_fraction,4.104938271604939e-06
