L,tau_S,tau_S_err,alpha_T,alpha_T_err,tau_A,tau_A_err,gamma_ST,gamma_ST_err
8,1.5009042449337384,0.008033255573631114,1.9834564401971777,0.01983646084642724,1.5566675536088352,0.0076334654083720956,1.8034165077620539,0.02559381148410827
10,1.4810288776119829,0.007917701534398736,1.9065881506316034,0.01868162209737761,1.5419410608363666,0.008286715559423317,1.837904870662363,0.033369329863329196
12,1.4484530997033276,0.0058839143463082005,1.829200994100031,0.011968485428898952,1.5158618198458527,0.006203955846708908,1.8285448213206497,0.011610815859107037
14,1.4450539286847546,0.005785779181447996,1.8155864999688678,0.01173293232477729,1.5087881001209973,0.006330247438718943,1.8431584681312345,0.018975533988376536
16,1.4353086474516654,0.005748182966702779,1.795568673071578,0.011610739341947148,1.497643210885429,0.006342621246165745,1.8469630914903898,0.014502837273263916
18,1.4338288399706773,0.0057102517865761015,1.7859465303610396,0.011473977643143705,1.4937942256217642,0.006326537107744857,1.8559208806319314,0.01705758840191508
20,1.4238263837801157,0.005550776120352244,1.7803771939423585,0.011241547652075882,1.48064264800641,0.006179886677957058,1.849662474961898,0.015172075152113934
22,1.426585819814673,0.0055725966163870785,1.7841215517947295,0.011283784622213052,1.4829282654283737,0.006247083784844662,1.8503499011754831,0.014602223306342678
24,1.421514605043328,0.005541928845327961,1.7696986612678731,0.011190365125681546,1.473875994551324,0.006178772412846494,1.8657963305991685,0.01750743765742794
26,1.4127759561314557,0.005390355535916676,1.7450252243611493,0.010757996278641858,1.4636645208153765,0.006011991881158113,1.8456567342116588,0.015164442346646738
28,1.4277214079873388,0.005572710425406167,1.7807215071770355,0.011420845405350004,1.4788580848267792,0.006219460683612513,1.840469001885734,0.01180551673419477
30,1.4190251150145636,0.005424528996488726,1.7604531069428195,0.010973909157013193,1.4678304935253366,0.006053807770745947,1.8378783227583337,0.01160318132315679
32,1.423765099466638,0.005516484202270588,1.7705822049075945,0.011187850011673165,1.47048586099271,0.00612053775957766,1.8274381875741794,0.005111197476688554
34,1.4177604748871353,0.005486882979723243,1.7649469852803334,0.011150783299271305,1.4636654965190272,0.006084031800663679,1.8480322123544208,0.014401132795896839
36,1.4257551377411168,0.008189113201839418,1.776642914812742,0.01599711229150056,1.4737977736388774,0.007843431065618306,1.8590663221537609,0.012414121010214767
38,1.4446517337966314,0.008392643655854029,1.8092282035490377,0.016432935063829663,1.480810380812691,0.00786840451308139,1.8468168205955935,0.010116237431741023
40,1.4334841490687698,0.008287340348322316,1.795723282394612,0.01617203493115445,1.4806544919344202,0.007830284799181231,1.8478401894167507,0.013679933250305145

extrapolated_L_infinity,1.4000603907213143,,1.7221254321877266,,1.4357656921341702,,1.8316269939918293,
