hz,gamma_phi,omega,k_fac,r2
-26.0,6.0,1.0,0.029520925070327362,0.9984627290230069
-22.0,6.0,1.0,0.03877820128260353,0.998730784762016
-20.0,6.0,1.0,0.04185709426945457,0.9993465264968309
-18.0,6.0,1.0,0.052122296654616915,0.9993250325420614
-14.0,6.0,1.0,0.06984235475173221,0.9989276669575948
-10.0,6.0,1.0,0.10104577525075706,0.9994275729050696
-7.0,6.0,1.0,0.1294958419129189,0.9997077323886676
-5.0,6.0,1.0,0.13802803028793992,0.9989615924259895
-3.0,6.0,1.0,0.15278152053034447,0.9967909026883149
-2.0,6.0,1.0,0.16209120359152437,0.9994259736028707
-1.0,6.0,1.0,0.17729291180572876,0.9993786337167078
0.0,6.0,1.0,0.16571748241820017,0.9998035613400621
1.0,6.0,1.0,0.17403213463759787,0.999141693588415
2.0,6.0,1.0,0.1693429253914453,0.9988128260758111
3.0,6.0,1.0,0.1593555706869208,0.9993633069233002
5.0,6.0,1.0,0.14321449359719068,0.9991124801239829
7.0,6.0,1.0,0.12690871636383147,0.9985236540730509
10.0,6.0,1.0,0.09765219347153947,0.9989808667266893
14.0,6.0,1.0,0.06957936202399773,0.999420599704998
18.0,6.0,1.0,0.047665675225150916,0.9985022081400271
20.0,6.0,1.0,0.043817687725376545,0.9984768488049066
22.0,6.0,1.0,0.037896162311615376,0.999584829582321
26.0,6.0,1.0,0.02770592435946585,0.9989434288816226
