gamma_loss,tau_S,tau_S_err,alpha_T,alpha_T_err,tau_A,tau_A_err,gamma_ST,gamma_ST_err,tau_S_rep_sem,alpha_T_rep_sem,tau_A_rep_sem,gamma_ST_rep_sem,n_avalanches,n_runs_total,replicates,t_loss
0.0001,1.4113047654011197,0.015202261571474406,1.7211319066311241,0.02040485402700649,1.4454563460981595,0.015225384464826481,1.8083995592265418,0.03189412926666993,nan,nan,nan,nan,4000,4000,1,2000.0
0.0005,1.418604783492098,0.015535880658240412,1.691618447599457,0.01853066524015146,1.458400009322244,0.016873937527393097,1.8074720642463231,0.039308966661778674,nan,nan,nan,nan,4000,4000,1,400.0
0.001,1.5064419255502925,0.01875710835371454,1.8937316240924074,0.031402528322815815,1.5477261170687586,0.020286152484028097,1.8551033751123094,0.0482985207045927,nan,nan,nan,nan,3963,4000,1,200.0
0.002,1.5503609813124242,0.019846524583360642,1.951161938447834,0.032247409824735,1.5948577673859456,0.021354149365593617,1.835226154973875,0.033504965044917845,nan,nan,nan,nan,3928,4000,1,100.0
0.005,1.6382270618203028,0.02391857038045188,2.1968541647493995,0.04837996215413898,1.678480493379217,0.025320667125873907,1.8225992398296615,0.03152149835495656,nan,nan,nan,nan,3890,4000,1,40.0
0.01,1.7546317883853018,0.02611510990440745,1.8171611647297772,0.017793829665885108,4.393154085751242,0.4751366088315733,1.7484725724914225,0.035436160081968184,nan,nan,nan,nan,3798,4000,1,20.0
0.02,3.663899030131568,0.29065521307850856,2.962409788510821,0.0828530062111386,4.18205303018034,0.39168365186020165,1.7924071276050633,0.12060119316717047,nan,nan,nan,nan,3673,4000,1,10.0
0.05,4.030410892826138,0.21321896637164026,2.1007187823838454,0.025238940565500405,4.897404388929697,0.5117542677221852,nan,nan,nan,nan,nan,nan,3393,4000,1,4.0
0.1,4.716942869257721,0.2689485469517637,2.978399842378807,0.0589059980835292,4.878240165445245,0.2851338877626852,nan,nan,nan,nan,nan,nan,3005,4000,1,2.0
0.2,4.970404132452112,0.07881137513498279,2.271055703218435,0.028564852676432946,4.981055978206428,0.07902281119630508,nan,nan,nan,nan,nan,nan,2538,4000,1,1.0
0.4,11.001965310874823,0.22597902263874692,2.3294108035728707,0.030035992401428586,11.001965310874823,0.22597902263874692,nan,nan,nan,nan,nan,nan,1959,4000,1,0.5
0.6,21.716006998996725,0.5311796666409416,3.0578204901133668,0.05276462795162479,21.716006998996725,0.5311796666409416,nan,nan,nan,nan,nan,nan,1521,4000,1,0.33333333333333337
0.8,41.44911911848366,1.1571068517362286,4.561562302962249,0.10188375503485059,41.44911911848366,1.1571068517362286,nan,nan,nan,nan,nan,nan,1222,4000,1,0.25
1.0,38.874872681248505,1.0393268430152454,4.574438459515939,0.09808639809686394,38.874872681248505,1.0393268430152454,nan,nan,nan,nan,nan,nan,1328,4000,1,0.2
