L,S_cut,S_cut_err,T_cut,T_cut_err,nS,nT,lambda_fac,gamma_loss,max_T,cutoff_method,cutoff_quantile
8,2173.4783214442705,88.99556242212694,36.06623161281979,1.3030326482847878,11061,20000,2.008,0.0002,1800.0,moment,0.99
10,4521.888254123538,211.70500139958204,50.40574153566529,2.0229347022226074,11031,20000,2.008,0.0002,1800.0,moment,0.99
12,9252.99911916737,452.58527824349346,79.41091963665812,3.502779428589936,11116,20000,2.008,0.0002,1800.0,moment,0.99
14,14775.581546777461,751.2965243106108,95.6820880400133,4.227271974157789,11151,20000,2.008,0.0002,1800.0,moment,0.99
16,25763.89783167628,1578.424947759997,128.17503231490954,6.738439757669076,11116,20000,2.008,0.0002,1800.0,moment,0.99
18,35283.12250510765,1975.150248002074,147.85271530135373,7.62049133718519,11108,20000,2.008,0.0002,1800.0,moment,0.99
20,56976.10757903914,4070.4913819785074,186.71638578237386,12.222850399503617,11081,20000,2.008,0.0002,1800.0,moment,0.99
22,72925.46322473399,5421.803566905311,223.26021158526112,14.979143899813584,11110,20000,2.008,0.0002,1800.0,moment,0.99
24,111135.89186204832,7833.109970804873,273.32407146320867,19.53553551487142,11178,20000,2.008,0.0002,1800.0,moment,0.99
26,163203.4895870523,10149.17441864428,385.32895544157765,25.00288272654204,11085,20000,2.008,0.0002,1800.0,moment,0.99
28,222874.40047501915,16103.698945939545,442.2287867147186,30.205269004463947,11152,20000,2.008,0.0002,1800.0,moment,0.99
30,280271.1178721836,16978.481079487796,512.6440742721682,33.801527580503894,11164,20000,2.008,0.0002,1800.0,moment,0.99
32,318562.1985072996,20165.66577168174,531.7701464250534,34.271149979378094,11121,20000,2.008,0.0002,1800.0,moment,0.99
34,388254.11303739774,22952.41409492821,548.3230059556164,36.61834441147016,11225,20000,2.008,0.0002,1800.0,moment,0.99
36,523399.77455844043,22750.433534514326,736.2507786051556,35.637610771030126,11043,20000,2.008,0.0002,1800.0,moment,0.99
38,650932.8769105026,34734.930217164816,731.8717141123427,41.35812481160054,11131,20000,2.008,0.0002,1800.0,moment,0.99
40,763316.267875029,30721.34047043687,850.0316179652298,38.97859077929673,11085,20000,2.008,0.0002,1800.0,moment,0.99

fit_exponents,D_fss,3.686767952484136,z_fss,2.0104091030108187
