L,lambda_fac,decay_exp,decay_exp_err,curvature_rms,t_min,t_max,final_rho
15,2.008,0.7020822832335055,0.0015448921304028849,0.026967029493022262,5.0,70.0,0.01052246913580247
20,2.008,0.6686249149348508,0.0012977000466123491,0.022652141687695273,5.0,70.0,0.013495000000000002
25,2.008,0.7158610169564874,0.0009324581229552144,0.016276622301250127,5.0,70.0,0.011567786666666666
30,0.05,10.531526996594426,0.17330181834757583,0.1501500447697482,5.0,70.0,0.0
30,0.1,10.937539872026871,0.17080915631686489,0.17959401159320207,5.0,70.0,0.0
30,1.0,8.61192810927921,0.16709551174037002,0.5735426077408137,5.0,70.0,0.0
30,2.0,0.7730470492486071,0.0007323916844174348,0.01278434122709826,5.0,70.0,0.009317037037037037
30,2.008,0.6772550063532276,0.0007774931064123538,0.013571613913118676,5.0,70.0,0.013156296296296298
30,5.0,0.0042367686294378605,5.8287611328116295e-05,0.0010174456214966945,5.0,70.0,0.5328933333333333
30,10.0,0.0038922643760030042,4.674727801716361e-05,0.0008160021015050311,5.0,70.0,0.6925098765432098
35,2.008,0.7108691055269933,0.0004931639225206441,0.008608475492745573,5.0,70.0,0.012666122448979591
40,2.008,0.6996668353079057,0.0003837345313057397,0.0066983190732639005,5.0,70.0,0.012216875
